result_id,inventory_id,equipment_id,location_id,expected_presence,actual_presence,condition,discrepancy_flag,discrepancy_type,comment
RES01-001,INV-0829-01,EQ0106,6,1,1,исправно,False,нет,
RES02-001,INV-0902-02,EQ0025,29,1,2,исправно,True,лишнее,Требуется пересчёт
RES02-002,INV-0902-02,EQ0091,29,1,1,повреждено,False,нет,
RES03-001,INV-0926-03,EQ0091,29,1,1,к списанию,False,нет,
RES04-001,INV-1031-04,EQ0018,27,1,1,требуется ТО,False,нет,
RES04-002,INV-1031-04,EQ0060,27,1,1,повреждено,False,нет,
RES04-003,INV-1031-04,EQ0079,27,1,1,повреждено,False,нет,
RES05-001,INV-1111-05,EQ0075,23,1,1,требуется ТО,False,нет,
RES06-001,INV-1208-06,EQ0029,36,1,1,требуется ТО,False,нет,
RES06-002,INV-1208-06,EQ0001,36,1,0,требуется ТО,True,перемещено,Требуется пересчёт
RES07-001,INV-1210-07,EQ0063,32,1,1,исправно,False,нет,
RES07-002,INV-1210-07,EQ0007,32,1,1,повреждено,False,нет,
RES08-001,INV-1213-08,EQ0021,17,1,1,к списанию,False,нет,
RES08-002,INV-1213-08,EQ0107,15,1,1,к списанию,False,нет,
RES08-003,INV-1213-08,EQ0020,5,1,1,к списанию,False,нет,
